trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
route_001_outbound,06:00:00,06:00:00,stop_1_001,1,0.0
route_001_outbound,06:05:00,06:05:00,stop_1_002,2,0.00045344397808996583
route_001_outbound,06:10:00,06:10:00,stop_1_003,3,0.0009068879561830595
route_001_outbound,06:15:00,06:15:00,stop_1_004,4,0.0013603319342837881
route_001_outbound,06:20:00,06:20:00,stop_1_005,5,0.0018137759123736353
route_001_outbound,06:25:00,06:25:00,stop_1_006,6,0.0022672198904656452
route_001_outbound,06:30:00,06:30:00,stop_1_007,7,0.0027206638685560018
route_001_outbound,06:35:00,06:35:00,stop_1_008,8,0.0031741078466487036
route_001_outbound,06:40:00,06:40:00,stop_1_009,9,0.003627551824746333
route_001_outbound,06:45:00,06:45:00,stop_1_010,10,0.004080995802838319
route_001_outbound,06:50:00,06:50:00,stop_1_011,11,0.004534439780930837
route_001_outbound,06:55:00,06:55:00,stop_1_012,12,0.0049878837590213495
route_001_outbound,06:60:00,06:60:00,stop_1_013,13,0.005441327737116657
route_001_outbound,06:65:00,06:65:00,stop_1_014,14,0.00589477171520777
route_001_outbound,06:70:00,06:70:00,stop_1_015,15,0.006348215693301856
route_001_outbound,06:75:00,06:75:00,stop_1_016,16,0.006801659671395591
route_001_outbound,06:80:00,06:80:00,stop_1_017,17,0.007255103649487744
route_001_outbound,06:85:00,06:85:00,stop_1_018,18,0.007708547627579329
route_001_outbound,06:90:00,06:90:00,stop_1_019,19,0.008161991605676064
route_001_outbound,06:95:00,06:95:00,stop_1_020,20,0.008615435583764161
route_001_outbound,06:100:00,06:100:00,stop_1_021,21,0.009068879561858766
route_001_outbound,06:105:00,06:105:00,stop_1_022,22,0.009522323539954013
route_001_outbound,06:110:00,06:110:00,stop_1_023,23,0.009975767518046803
route_001_outbound,06:115:00,06:115:00,stop_1_024,24,0.010429211496137332
route_001_outbound,06:120:00,06:120:00,stop_1_025,25,0.01088265547423513
route_001_outbound,06:125:00,06:125:00,stop_1_026,26,0.01133609945232589
route_001_outbound,06:130:00,06:130:00,stop_1_027,27,0.011789543430417031
route_001_outbound,06:135:00,06:135:00,stop_1_028,28,0.012242987408507693
route_001_outbound,06:140:00,06:140:00,stop_1_029,29,0.012696431386606807
route_001_outbound,06:145:00,06:145:00,stop_1_030,30,0.013149875364699021
route_001_outbound,06:150:00,06:150:00,stop_1_031,31,0.013603319342791236
route_001_outbound,06:155:00,06:155:00,stop_1_032,32,0.014056763320881361
route_001_outbound,06:160:00,06:160:00,stop_1_033,33,0.014510207298975428
route_001_outbound,06:165:00,06:165:00,stop_1_034,34,0.014963651277069494
route_001_outbound,06:170:00,06:170:00,stop_1_035,35,0.015417095255163561
route_001_outbound,06:175:00,06:175:00,stop_1_036,36,0.015870539233256088
route_001_outbound,06:180:00,06:180:00,stop_1_037,37,0.016323983211349695
